date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:36:01	20727/20727	---MCZ	200	added ('OK')	image/png	date:Sat,%2006%20Jul%202024%2017:33:15%20GMT	https://w.ladicdn.com/s400x400/63b3d7bebcd4e8001229d39c/image08-1ghe-20240625044518-ne7wk.png	D:/poge/Poge/w.ladicdn.com/s400x400/63b3d7bebcd4e8001229d39c/image08-1ghe-20240625044518-ne7wk.png	(from https://pogeonsol.surge.sh/www.pogethefrog.vip/)
01:36:01	11661/11661	---MCZ	200	added ('OK')	image/png	date:Sat,%2006%20Jul%202024%2017:33:15%20GMT	https://w.ladicdn.com/s400x400/63b3d7bebcd4e8001229d39c/fgsdf-20240625044737-clixb.png	D:/poge/Poge/w.ladicdn.com/s400x400/63b3d7bebcd4e8001229d39c/fgsdf-20240625044737-clixb.png	(from https://pogeonsol.surge.sh/www.pogethefrog.vip/)
01:36:01	870730/870730	---MCZ	200	added ('OK')	image/png	date:Sat,%2006%20Jul%202024%2018:47:57%20GMT	https://w.ladicdn.com/s1440x613/63b3d7bebcd4e8001229d39c/dgwgj9u-284e4a24-f6a7-4f38-8445-15bf28557860-1hrf-20240625051425-2hymo.png	D:/poge/Poge/w.ladicdn.com/s1440x613/63b3d7bebcd4e8001229d39c/dgwgj9u-284e4a24-f6a7-4f38-8445-15bf28557860-1hrf-20240625051425-2hymo.png	(from https://pogeonsol.surge.sh/www.pogethefrog.vip/)
01:36:01	1064826/1064826	---MCZ	200	added ('OK')	image/png	date:Sun,%2007%20Jul%202024%2008:23:51%20GMT	https://w.ladicdn.com/s1440x911/63b3d7bebcd4e8001229d39c/dgwgj9u-284e4a24-f6a7-4f38-8445-15bf28557860-1hrf-20240625051425-2hymo.png	D:/poge/Poge/w.ladicdn.com/s1440x911/63b3d7bebcd4e8001229d39c/dgwgj9u-284e4a24-f6a7-4f38-8445-15bf28557860-1hrf-20240625051425-2hymo.png	(from https://pogeonsol.surge.sh/www.pogethefrog.vip/)
01:36:02	202791/202791	---MCZ	200	added ('OK')	image/png	date:Sun,%2007%20Jul%202024%2008:23:51%20GMT	https://w.ladicdn.com/s700x750/63b3d7bebcd4e8001229d39c/tax-20240625051601-v1kke.png	D:/poge/Poge/w.ladicdn.com/s700x750/63b3d7bebcd4e8001229d39c/tax-20240625051601-v1kke.png	(from https://pogeonsol.surge.sh/www.pogethefrog.vip/)
01:36:03	674325/674325	---MCZ	200	added ('OK')	image/png	date:Sun,%2007%20Jul%202024%2023:31:39%20GMT	https://w.ladicdn.com/s768x695/63b3d7bebcd4e8001229d39c/dgwgj9u-284e4a24-f6a7-4f38-8445-15bf28557860-1hrf-20240625051425-2hymo.png	D:/poge/Poge/w.ladicdn.com/s768x695/63b3d7bebcd4e8001229d39c/dgwgj9u-284e4a24-f6a7-4f38-8445-15bf28557860-1hrf-20240625051425-2hymo.png	(from https://pogeonsol.surge.sh/www.pogethefrog.vip/)
01:36:03	295706/295706	---MCZ	200	added ('OK')	image/png	date:Sun,%2007%20Jul%202024%2023:31:39%20GMT	https://w.ladicdn.com/s600x650/63b3d7bebcd4e8001229d39c/heromascotb-20240625045828-59kzg.png	D:/poge/Poge/w.ladicdn.com/s600x650/63b3d7bebcd4e8001229d39c/heromascotb-20240625045828-59kzg.png	(from https://pogeonsol.surge.sh/www.pogethefrog.vip/)
01:36:03	26671/26671	---MCZ	200	added ('OK')	image/png	date:Wed,%2003%20Jul%202024%2001:39:13%20GMT	https://w.ladicdn.com/s350x350/63b3d7bebcd4e8001229d39c/image07-1-20240625041545-fn8um.png	D:/poge/Poge/w.ladicdn.com/s350x350/63b3d7bebcd4e8001229d39c/image07-1-20240625041545-fn8um.png	(from https://pogeonsol.surge.sh/www.pogethefrog.vip/)
01:36:04	33535/33535	---MCZ	200	added ('OK')	image/png	date:Tue,%2009%20Jul%202024%2006:36:04%20GMT	https://w.ladicdn.com/s350x350/63b3d7bebcd4e8001229d39c/image08-1-20240625041629-afzyq.png	D:/poge/Poge/w.ladicdn.com/s350x350/63b3d7bebcd4e8001229d39c/image08-1-20240625041629-afzyq.png	(from https://pogeonsol.surge.sh/www.pogethefrog.vip/)
01:36:05	694039/694039	---MCZ	200	added ('OK')	image/png	date:Tue,%2009%20Jul%202024%2006:36:03%20GMT	https://w.ladicdn.com/s1500x1050/63b3d7bebcd4e8001229d39c/community-20240625052239-4bdpu.png	D:/poge/Poge/w.ladicdn.com/s1500x1050/63b3d7bebcd4e8001229d39c/community-20240625052239-4bdpu.png	(from https://pogeonsol.surge.sh/www.pogethefrog.vip/)
01:36:05	11875/11875	---MCZ	200	added ('OK')	image/png	date:Tue,%2009%20Jul%202024%2006:36:05%20GMT	https://w.ladicdn.com/s350x350/63b3d7bebcd4e8001229d39c/image08-1vvv-20240625044223-be5fq.png	D:/poge/Poge/w.ladicdn.com/s350x350/63b3d7bebcd4e8001229d39c/image08-1vvv-20240625044223-be5fq.png	(from https://pogeonsol.surge.sh/www.pogethefrog.vip/)
01:36:05	16178/16178	---MCZ	200	added ('OK')	image/png	date:Sun,%2007%20Jul%202024%2023:31:38%20GMT	https://w.ladicdn.com/s350x350/63b3d7bebcd4e8001229d39c/image08-1fde-20240625044351-xb2eh.png	D:/poge/Poge/w.ladicdn.com/s350x350/63b3d7bebcd4e8001229d39c/image08-1fde-20240625044351-xb2eh.png	(from https://pogeonsol.surge.sh/www.pogethefrog.vip/)
01:36:05	41218/41218	---MCZ	200	added ('OK')	image/png	date:Sun,%2007%20Jul%202024%2023:31:38%20GMT	https://w.ladicdn.com/s350x350/63b3d7bebcd4e8001229d39c/image08-1ghe-20240625044518-ne7wk.png	D:/poge/Poge/w.ladicdn.com/s350x350/63b3d7bebcd4e8001229d39c/image08-1ghe-20240625044518-ne7wk.png	(from https://pogeonsol.surge.sh/www.pogethefrog.vip/)
01:36:06	17044/17044	---MCZ	200	added ('OK')	image/png	date:Tue,%2009%20Jul%202024%2006:36:06%20GMT	https://w.ladicdn.com/s350x350/63b3d7bebcd4e8001229d39c/fgsdf-20240625044737-clixb.png	D:/poge/Poge/w.ladicdn.com/s350x350/63b3d7bebcd4e8001229d39c/fgsdf-20240625044737-clixb.png	(from https://pogeonsol.surge.sh/www.pogethefrog.vip/)
01:36:06	319573/319573	---MCZ	200	added ('OK')	image/png	date:Sun,%2007%20Jul%202024%2023:31:38%20GMT	https://w.ladicdn.com/s768x417/63b3d7bebcd4e8001229d39c/dgwgj9u-284e4a24-f6a7-4f38-8445-15bf28557860-1hrf-20240625051425-2hymo.png	D:/poge/Poge/w.ladicdn.com/s768x417/63b3d7bebcd4e8001229d39c/dgwgj9u-284e4a24-f6a7-4f38-8445-15bf28557860-1hrf-20240625051425-2hymo.png	(from https://pogeonsol.surge.sh/www.pogethefrog.vip/)
01:36:08	411964/411964	---MCZ	200	added ('OK')	image/png	date:Tue,%2009%20Jul%202024%2006:36:07%20GMT	https://w.ladicdn.com/s768x509/63b3d7bebcd4e8001229d39c/dgwgj9u-284e4a24-f6a7-4f38-8445-15bf28557860-1hrf-20240625051425-2hymo.png	D:/poge/Poge/w.ladicdn.com/s768x509/63b3d7bebcd4e8001229d39c/dgwgj9u-284e4a24-f6a7-4f38-8445-15bf28557860-1hrf-20240625051425-2hymo.png	(from https://pogeonsol.surge.sh/www.pogethefrog.vip/)
01:36:09	192270/192270	---MCZ	200	added ('OK')	image/png	date:Tue,%2009%20Jul%202024%2006:36:08%20GMT	https://w.ladicdn.com/s450x500/63b3d7bebcd4e8001229d39c/tax-20240625051601-v1kke.png	D:/poge/Poge/w.ladicdn.com/s450x500/63b3d7bebcd4e8001229d39c/tax-20240625051601-v1kke.png	(from https://pogeonsol.surge.sh/www.pogethefrog.vip/)
01:36:10	474822/474822	---MCZ	200	added ('OK')	image/png	date:Tue,%2009%20Jul%202024%2006:36:09%20GMT	https://w.ladicdn.com/s768x560/63b3d7bebcd4e8001229d39c/dgwgj9u-284e4a24-f6a7-4f38-8445-15bf28557860-1hrf-20240625051425-2hymo.png	D:/poge/Poge/w.ladicdn.com/s768x560/63b3d7bebcd4e8001229d39c/dgwgj9u-284e4a24-f6a7-4f38-8445-15bf28557860-1hrf-20240625051425-2hymo.png	(from https://pogeonsol.surge.sh/www.pogethefrog.vip/)
01:36:11	392314/392314	---MCZ	200	added ('OK')	image/png	date:Tue,%2009%20Jul%202024%2006:36:10%20GMT	https://w.ladicdn.com/s750x550/63b3d7bebcd4e8001229d39c/community-20240625052239-4bdpu.png	D:/poge/Poge/w.ladicdn.com/s750x550/63b3d7bebcd4e8001229d39c/community-20240625052239-4bdpu.png	(from https://pogeonsol.surge.sh/www.pogethefrog.vip/)
